review_id,text,rating,sentiment,product_category
332,Works perfectly and arrived quickly,4,positive,home
333,Very disappointed with the quality,2,negative,fashion
334,"I love it, will definitely buy again",5,positive,electronics
335,"Average product, nothing special",3,neutral,fashion
336,Not bad but not great either,3,neutral,electronics
337,"It's okay, does the job",3,neutral,fashion
338,"Average product, nothing special",3,neutral,electronics
339,"Terrible product, broke after one use",1,negative,home
340,Not bad but not great either,3,neutral,home
341,"Average product, nothing special",3,neutral,fashion
342,"I love it, will definitely buy again",5,positive,electronics
343,"Average product, nothing special",3,neutral,home
344,"Terrible product, broke after one use",1,negative,electronics
345,"Amazing experience, highly recommend this",5,positive,fashion
346,"Average product, nothing special",3,neutral,electronics
347,"Terrible product, broke after one use",2,negative,electronics
348,Poor performance and bad design,1,negative,electronics
349,Very disappointed with the quality,2,negative,electronics
350,"I love it, will definitely buy again",5,positive,electronics
351,Not bad but not great either,3,neutral,fashion
352,Works perfectly and arrived quickly,4,positive,home
353,Decent quality for the price,3,neutral,home
354,Poor performance and bad design,2,negative,fashion
355,Very disappointed with the quality,1,negative,fashion
356,"Amazing experience, highly recommend this",5,positive,home
357,Great value for money,4,positive,fashion
358,Customer service was awful,1,negative,fashion
359,"Waste of money, not recommended",1,negative,fashion
360,It works as expected,3,neutral,electronics
361,"Terrible product, broke after one use",1,negative,home
362,"Terrible product, broke after one use",2,negative,fashion
363,Decent quality for the price,3,neutral,home
364,"Terrible product, broke after one use",1,negative,electronics
365,"Average product, nothing special",3,neutral,fashion
366,"Terrible product, broke after one use",1,negative,electronics
367,"Excellent product, very satisfied with the quality",4,positive,electronics
368,"Waste of money, not recommended",1,negative,home
369,Poor performance and bad design,2,negative,fashion
370,"Waste of money, not recommended",2,negative,fashion
371,"I love it, will definitely buy again",4,positive,electronics
372,"Amazing experience, highly recommend this",4,positive,electronics
373,Decent quality for the price,3,neutral,home
374,Not bad but not great either,3,neutral,home
375,Very disappointed with the quality,2,negative,home
376,Decent quality for the price,3,neutral,home
377,Great value for money,4,positive,fashion
378,"Average product, nothing special",3,neutral,home
379,"I love it, will definitely buy again",5,positive,fashion
380,"I love it, will definitely buy again",4,positive,electronics
381,It works as expected,3,neutral,electronics
382,"Terrible product, broke after one use",1,negative,home
383,"Waste of money, not recommended",2,negative,fashion
384,"Waste of money, not recommended",1,negative,home
385,"Excellent product, very satisfied with the quality",5,positive,electronics
386,Very disappointed with the quality,1,negative,home
387,It works as expected,3,neutral,fashion
388,Great value for money,5,positive,fashion
389,Customer service was awful,2,negative,electronics
390,Poor performance and bad design,1,negative,electronics
391,Poor performance and bad design,1,negative,electronics
392,Very disappointed with the quality,2,negative,electronics
393,Decent quality for the price,3,neutral,home
394,"Excellent product, very satisfied with the quality",5,positive,home
395,Works perfectly and arrived quickly,4,positive,electronics
396,"Waste of money, not recommended",1,negative,electronics
397,"Terrible product, broke after one use",2,negative,electronics
398,Poor performance and bad design,1,negative,home
399,Poor performance and bad design,1,negative,fashion
400,Not bad but not great either,3,neutral,fashion
401,"Average product, nothing special",3,neutral,electronics
402,"Terrible product, broke after one use",1,negative,electronics
403,Very disappointed with the quality,2,negative,fashion
404,"I love it, will definitely buy again",5,positive,home
405,"It's okay, does the job",3,neutral,home
406,"Terrible product, broke after one use",2,negative,home
407,Works perfectly and arrived quickly,5,positive,home
408,Great value for money,4,positive,electronics
409,Not bad but not great either,3,neutral,home
410,"Average product, nothing special",3,neutral,fashion
411,"Average product, nothing special",3,neutral,electronics
412,Not bad but not great either,3,neutral,fashion
413,Works perfectly and arrived quickly,5,positive,home
414,"Waste of money, not recommended",2,negative,fashion
415,Works perfectly and arrived quickly,4,positive,electronics
416,"It's okay, does the job",3,neutral,fashion
417,Decent quality for the price,3,neutral,electronics
418,It works as expected,3,neutral,fashion
419,Works perfectly and arrived quickly,4,positive,fashion
420,Very disappointed with the quality,2,negative,fashion
421,"Terrible product, broke after one use",2,negative,home
422,"Terrible product, broke after one use",2,negative,home
423,"Amazing experience, highly recommend this",5,positive,electronics
424,"Average product, nothing special",3,neutral,home
425,Customer service was awful,2,negative,home
426,"It's okay, does the job",3,neutral,fashion
427,"Terrible product, broke after one use",1,negative,home
428,"Excellent product, very satisfied with the quality",5,positive,fashion
429,Not bad but not great either,3,neutral,electronics
430,"I love it, will definitely buy again",5,positive,home
431,Poor performance and bad design,2,negative,electronics
432,"I love it, will definitely buy again",5,positive,home
433,Poor performance and bad design,1,negative,electronics
434,"Terrible product, broke after one use",1,negative,fashion
435,"Terrible product, broke after one use",2,negative,fashion
436,"Terrible product, broke after one use",1,negative,home
437,Customer service was awful,1,negative,electronics
438,"Excellent product, very satisfied with the quality",5,positive,electronics
439,"I love it, will definitely buy again",5,positive,home
440,It works as expected,3,neutral,electronics
441,Decent quality for the price,3,neutral,electronics
442,"I love it, will definitely buy again",5,positive,electronics
443,"Excellent product, very satisfied with the quality",4,positive,home
444,"Average product, nothing special",3,neutral,home
445,Great value for money,4,positive,home
446,"I love it, will definitely buy again",4,positive,fashion
447,Very disappointed with the quality,2,negative,fashion
448,It works as expected,3,neutral,electronics
449,Great value for money,5,positive,electronics
450,Works perfectly and arrived quickly,4,positive,fashion
451,Poor performance and bad design,1,negative,electronics
452,"It's okay, does the job",3,neutral,fashion
453,"Waste of money, not recommended",1,negative,electronics
454,"I love it, will definitely buy again",4,positive,electronics
455,"Terrible product, broke after one use",1,negative,home
456,"Average product, nothing special",3,neutral,electronics
457,"Waste of money, not recommended",2,negative,home
458,"Excellent product, very satisfied with the quality",4,positive,electronics
459,Not bad but not great either,3,neutral,electronics
460,"Average product, nothing special",3,neutral,electronics
461,"Excellent product, very satisfied with the quality",5,positive,fashion
462,"Terrible product, broke after one use",2,negative,fashion
463,"Average product, nothing special",3,neutral,home
464,It works as expected,3,neutral,electronics
465,Very disappointed with the quality,2,negative,electronics
466,Customer service was awful,1,negative,electronics
467,Customer service was awful,1,negative,home
468,Customer service was awful,1,negative,fashion
469,Decent quality for the price,3,neutral,fashion
470,"Amazing experience, highly recommend this",4,positive,electronics
471,Very disappointed with the quality,1,negative,home
472,Works perfectly and arrived quickly,4,positive,electronics
473,Decent quality for the price,3,neutral,electronics
474,"I love it, will definitely buy again",4,positive,fashion
475,"Waste of money, not recommended",2,negative,electronics
476,Very disappointed with the quality,2,negative,home
477,Great value for money,5,positive,home
478,Very disappointed with the quality,1,negative,home
479,Works perfectly and arrived quickly,5,positive,home
480,Not bad but not great either,3,neutral,home
481,Great value for money,5,positive,home
482,"It's okay, does the job",3,neutral,home
483,"It's okay, does the job",3,neutral,electronics
484,Customer service was awful,2,negative,electronics
485,Works perfectly and arrived quickly,4,positive,fashion
486,Customer service was awful,2,negative,electronics
487,Not bad but not great either,3,neutral,fashion
488,Great value for money,5,positive,electronics
489,Great value for money,4,positive,fashion
490,"Average product, nothing special",3,neutral,fashion
491,Not bad but not great either,3,neutral,fashion
492,"It's okay, does the job",3,neutral,electronics
493,"Waste of money, not recommended",2,negative,home
494,Works perfectly and arrived quickly,4,positive,fashion
495,Customer service was awful,1,negative,fashion
496,"Excellent product, very satisfied with the quality",5,positive,electronics
497,Not bad but not great either,3,neutral,electronics
498,It works as expected,3,neutral,home
499,"Waste of money, not recommended",1,negative,home
500,Decent quality for the price,3,neutral,fashion
