review_id,text,language,rating,sentiment,product_category
63523557_rev_3,في البداية، كان كل شيء يعمل بشكل جيد، ولكن بعد ثلاثة أسابيع، لا يزال جهاز التسارع متكاملًا.,arabic,3.0,neutral,Sports & Loisirs
41570626_rev_3,كانت جودة الصوت السيئة، ووقفت الشريحة عن المشي بعد ثلاثة أيام.,arabic,2.0,negative,TV & HIGH TECH
60840048_rev_4,إنه ليس قويا بما فيه الكفاية,arabic,3.0,neutral,"Maison, cuisine & bureau"
48570357_rev_3,الجودة صفر,arabic,1.0,negative,Sports & Loisirs
mpg934749_rev_4,منتج عالي الجودة للغاية ، أوصي به,arabic,5.0,positive,"Maison, cuisine & bureau"
40800726_rev_4,ضوء ضئيل,arabic,3.0,neutral,TV & HIGH TECH
63024205_rev_3,طلبت إرجاعها في نفس اليوم الذي استلمت فيه المادة، لأنّ الفرشاة لا تتغلق كما شرحت للعميل، لكن خبراء تقنيّتهم قالوا إنّها تعمل بشكلٍ جيد !! ، وقد تمّ إرجاع المادة من قبل عميلٍ آخر، وتواصل تداول المادة الخاطئة، إما أنهم يتعاملون مع المورد، أو يرفضون الحصول على تعويضي.,arabic,1.0,negative,"Maison, cuisine & bureau"
mpg1399528_rev_3,المنتج صحيح. للأسف، تُفصل عجلات الجدول بعد حوالي ستة أشهر من شرائها. إنها خارج المقصورة، مما يجعلها عرضة للخطر. أنا لا أوصي بأي شكل من الأشكال بهذه المادة على هذا السعر لاستخدام قصير.,arabic,2.0,negative,"Maison, cuisine & bureau"
67624804_rev_4,ثلاثة جيد ,arabic,5.0,positive,TV & HIGH TECH
mpg931294_rev_5,هذا ليس ما يظهر في الصورة، ولكنه يقوم بعمله في كل الأحوال.,arabic,3.0,neutral,Sports & Loisirs
65589111_rev_4,سوء الجودة,arabic,1.0,negative,Sports & Loisirs
65635983_rev_3,نسبة قيمة جيدة. مفيدة للغاية.,arabic,4.0,positive,TV & HIGH TECH
mpg931294_rev_4,إن المنتج الذي لم يتوافق مع التعريف، 10ملم بدلاً من 15ملم، جودة السجاد ضعيفة.,arabic,1.0,negative,Sports & Loisirs
67527326_rev_4,نسبة الجودة الجيدة للأسعار,arabic,5.0,positive,TV & HIGH TECH
63949403_rev_5,كمبيوتر cassé,arabic,3.0,neutral,Sports & Loisirs
67201651_rev_3,متوسط ,arabic,3.0,neutral,Sports & Loisirs
63134375_rev_3,غير قابلة للاستعمال في داخل الجهاز، من المستحيل فتحها لإصلاحها لذلك..,arabic,1.0,negative,"Maison, cuisine & bureau"
65769100_rev_5,15 لترًا صحيحًا ولكن التوزيع هو صفر 7.5 لترًا صغيرًا جدًا من حيث الحجم البصري ومفيدًا جدًا من مقلاة 5 لترًا.,arabic,1.0,negative,"Maison, cuisine & bureau"
66151905_rev_6,خالي من العيب,arabic,5.0,positive,TV & HIGH TECH
62631204_rev_3,القنبلة ضيقة جدا على رأسها يجب أن تكون قياسية أنا خيبة أمل من الشراء,arabic,2.0,negative,Sports & Loisirs
mpg1544723_rev_3,التلفزيون يعمل بشكل جيد ولكن المستقبل المدمج لا يستقبل أي إشارات.,arabic,2.0,negative,TV & HIGH TECH
mpg1544723_rev_3,التلفزيون يعمل بشكل جيد ولكن المستقبل المدمج لا يستقبل أي إشارات.,arabic,2.0,negative,TV & HIGH TECH
mpg1544888_rev_4,ويتعين عليّ ربط جهاز استقبال خارجي,arabic,3.0,neutral,TV & HIGH TECH
61386348_rev_5,ممتاز .,arabic,3.0,neutral,TV & HIGH TECH
40800725_rev_5,لا بأس بذلك.,arabic,3.0,neutral,TV & HIGH TECH
60222551_rev_6,يوتيوب لا يعمل ولا نيتفليكس,arabic,1.0,negative,TV & HIGH TECH
34408767_rev_4,آلة قوية جدا,arabic,5.0,positive,"Maison, cuisine & bureau"
65289408_rev_3,نسبة الجودة الجيدة للأسعار,arabic,4.0,positive,Sports & Loisirs
62091910_rev_4,الجودة المتوسطة لهذا السعر,arabic,3.0,neutral,Sports & Loisirs
63523557_rev_3,في البداية، كان كل شيء يعمل بشكل جيد، ولكن بعد ثلاثة أسابيع، لا يزال جهاز التسارع متكاملًا.,arabic,3.0,neutral,Sports & Loisirs
65758989_rev_3,إن المنتج كاذب، والجودة لا تشمل 4K كما هو موضح، والصورة سيئة للغاية وخيبة أمل كبيرة.,arabic,1.0,negative,TV & HIGH TECH
mpg1556186_rev_4,وقد توقف المنتج عن العمل بعد الاستخدام الثاني,arabic,1.0,negative,"Maison, cuisine & bureau"
65603593_rev_4,الصوت والألوان المتحركة لا تتحرك,arabic,1.0,negative,TV & HIGH TECH
41072832_rev_4,عزيزي جدا,arabic,1.0,negative,"Maison, cuisine & bureau"
62988362_rev_4,إن قدرة البطارية مقارنة بقوة مصباح المصباح غير كافية.,arabic,3.0,neutral,Sports & Loisirs
mpg1337936_rev_5,لسوء الحظ لا أستطيع تثبيتها ولكنها تبدو جيدة.,arabic,4.0,positive,TV & HIGH TECH
mpg875665_rev_3,حسناً ????,arabic,3.0,neutral,Sports & Loisirs
mpg92932_rev_5,حسناً جداً,arabic,5.0,positive,TV & HIGH TECH
63523557_rev_3,في البداية، كان كل شيء يعمل بشكل جيد، ولكن بعد ثلاثة أسابيع، لا يزال جهاز التسارع متكاملًا.,arabic,3.0,neutral,Sports & Loisirs
64721374_rev_5,الأشجار المناسبة ذات الجودة الجيدة,arabic,5.0,positive,"Maison, cuisine & bureau"
65029886_rev_3,حسناً ???? ماذا؟,arabic,3.0,neutral,TV & HIGH TECH
mpg1544888_rev_4,ويتعين عليّ ربط جهاز استقبال خارجي,arabic,3.0,neutral,TV & HIGH TECH
mpg1150396_rev_4,بعد الاختبار، سيكون من الضروري إجراء تعديل كبير ليتم توصيله إلى الحائط.,arabic,3.0,neutral,Sports & Loisirs
25705075_rev_3,يعمل في البداية، ثم بالأبيض والأسود.حاولت تغيير PAL/NTSC ولكن لا شيء.,arabic,1.0,negative,Informatique
41086042_rev_3,لا تقلق، لا تقلق.,arabic,3.0,neutral,TV & HIGH TECH
mpg1375344_rev_5,أنا لا أوصي بضوء منخفض جدا,arabic,1.0,negative,TV & HIGH TECH
mpg28869_rev_7,ليس سيئا,arabic,3.0,neutral,"Maison, cuisine & bureau"
mpg1150396_rev_4,بعد الاختبار، سيكون من الضروري إجراء تعديل كبير ليتم توصيله إلى الحائط.,arabic,3.0,neutral,Sports & Loisirs
67425220_rev_3,وصلت في وقت مبكر وفي حالة ممتازة جدا هذا الكاميرا ممتازة جدا,arabic,5.0,positive,TV & HIGH TECH
65743968_rev_3,لا يكون البلاستيك في المطبوعات الصمغية صلباً إذا كسر بسرعة في المرحلة الأولى من الاستخدام، وظهرت شقوق.,arabic,3.0,neutral,"Maison, cuisine & bureau"
mpg1446904_rev_3,لا يعمل، لا يستنشق الهواء.,arabic,1.0,negative,"Maison, cuisine & bureau"
59559072_rev_5,حسناً.,arabic,5.0,positive,"Maison, cuisine & bureau"
66410403_rev_3,الحجم المتوسط ولكنه فعال,arabic,5.0,positive,"Maison, cuisine & bureau"
mpg1533410_rev_3,إنّه من الضروريّ جداً أن أصلح الكابل الأسود عن طريق إصدار حلقات عضليّة متغطّية.,arabic,2.0,negative,Sports & Loisirs
64732205_rev_3,جودة جيدة,arabic,3.0,neutral,"Maison, cuisine & bureau"
57092082_rev_3,ويتمّ تمثيله في الصور.,arabic,5.0,positive,"Maison, cuisine & bureau"
67637557_rev_3,ثلاثة ممارسات مميزة.,arabic,5.0,positive,Sports & Loisirs
mpg928600_rev_3,وبالرغم من ذلك، فإن الحفاظ على تقدمها أمر بالغ الأهمية.,arabic,3.0,neutral,Sports & Loisirs
50603195_rev_3,إنه محطم عند استخدامه لأول مرة.,arabic,1.0,negative,"Maison, cuisine & bureau"
mpg1446728_rev_3,صفقة جيدة عندما ترغب في أوتار محمول وفعال سريع في الطبخ بسعر بسيط.,arabic,5.0,positive,"Maison, cuisine & bureau"
65774067_rev_5,مقالة من نوعية سيئة جداً تأثير التوسع على مرآة المرآة الخلفية,arabic,1.0,negative,Sports & Loisirs
67364004_rev_3,Bon Bon Bon,arabic,3.0,neutral,"Maison, cuisine & bureau"
mpg77329_rev_4,الجودة العظيمة,arabic,1.0,negative,TV & HIGH TECH
67120235_rev_3,إن المنتج جيد مقابل السعر,arabic,4.0,positive,TV & HIGH TECH
58898197_rev_3,لا بأس ، لأنك يجب أن تفعل ذلك مرة أخرى وتكرارًا لتقترب من النتائج المرجوة.,arabic,3.0,neutral,"Maison, cuisine & bureau"
17352018_rev_4,أعلى  أعلى ,arabic,5.0,positive,"Maison, cuisine & bureau"
66565075_rev_3,لا بأس بذلك.,arabic,3.0,neutral,Sports & Loisirs
mpg1128105_rev_4,إذا كان يأتي أيضا مع مكيّف صغيري sd c mejor,arabic,3.0,neutral,TV & HIGH TECH
mpg923468_rev_5,ضعيف بعض الشيء ومستقر في المتوسط، ويهدف فقط للمبتدئين.,arabic,2.0,negative,TV & HIGH TECH
mpg1446830_rev_3,المثالية,arabic,5.0,positive,"Maison, cuisine & bureau"
55821858_rev_3,الأمر يستحق الانفجار.,arabic,5.0,positive,"Maison, cuisine & bureau"
mpg895890_rev_5,إنه يقوم بعمله، ليس من الجودة الجيدة، ولكن السعر جيد.,arabic,4.0,positive,TV & HIGH TECH
mpg928600_rev_3,وبالرغم من ذلك، فإن الحفاظ على تقدمها أمر بالغ الأهمية.,arabic,3.0,neutral,Sports & Loisirs
67128551_rev_4,لا تكتفي مقالة الكاميرا,arabic,1.0,negative,TV & HIGH TECH
67364004_rev_3,Bon Bon Bon,arabic,3.0,neutral,"Maison, cuisine & bureau"
58862548_rev_5,إنه ثلاث أدوات جيدة.,arabic,5.0,positive,"Maison, cuisine & bureau"
67393043_rev_4,بعض الأقراص لا تصل بسهولة إلى الحافظة الصغيرة، كما أن الأقراص التي تزن 1.5 كجم لا تصل بسهولة إلى الحافظة الكبيرة.,arabic,3.0,neutral,Sports & Loisirs
54196979_rev_3,j'aime,arabic,5.0,positive,"Maison, cuisine & bureau"
mpg1347370_rev_4,فصيلة من السلاسل الضعيفة للغاية!,arabic,2.0,negative,Sports & Loisirs
mpg934749_rev_5,جودة جيدة,arabic,5.0,positive,"Maison, cuisine & bureau"
36221126_rev_3,لقد أحببت الرسوم المخصصة.,arabic,4.0,positive,"Maison, cuisine & bureau"
67228364_rev_3,لا تقبل الرقائق المدفوعة مسبقاً، تحتاج إلى الرقائق من نوع الاشتراك، مشكلة APN غير معروفة.,arabic,3.0,neutral,TV & HIGH TECH
67692297_rev_3,ليس من الطبيعي أن يتم تسليم المواد المفقودة.أنا لست راضًا عن أدائك.,arabic,1.0,negative,"Maison, cuisine & bureau"
65014321_rev_5,يفتقر قطعة مهمة، وبالتالي فإن المنتج لا يمكن استخدامه.,arabic,1.0,negative,TV & HIGH TECH
53990750_rev_3,ظروف التسليم الكارثية. ناقل غير مدرب غير مسؤول لا يستطيع حتى استخدام موقع القطار لمدة ساعة ونصف للعثور على العنوان الصحيح. ثلاجة نقلت في سيارة خاصة. لا توجد وسيلة لتحريك السيارة إلى المنزل. لا وثيقة ضمانة...تجربة سيئة قصيرة.,arabic,1.0,negative,"Maison, cuisine & bureau"
39666935_rev_4,فهي مفيدة للغاية,arabic,5.0,positive,TV & HIGH TECH
66104553_rev_3,بالضبط كما هو الحال في وصف المنتج على الموقع.,arabic,5.0,positive,TV & HIGH TECH
64800264_rev_3,ثياب منخفضة الجودة. بصراحة، الثياب التي تباع في الشوارع مقابل 70 درهم هي من الجودة الأفضل. بصراحة، طالما أن هذا الموقع يسمح لهذا النوع من التجارة والبائعين، لن أشتري أي شيء منهم بعد الآن.,arabic,1.0,negative,Sports & Loisirs
66565050_rev_4,لا تعمل الوظيفة الصوتية والفأر على الشاشة !!!!,arabic,1.0,negative,TV & HIGH TECH
65368876_rev_3,ثلاثة منتجات جيدة نسب جودة السعر ممتاز,arabic,5.0,positive,"Maison, cuisine & bureau"
65153879_rev_3,وصلت الثلاجة بضربة مخفية تحت علامة واحدة. جوميا مجنونة، إنهم يطلبون مني استعادة الثلاجة مقابل 200dh بينما أنا دفعت 1700dh. خدمةهم بعد البيع هي أي مساعدة، ولن أطلب من موقعك مرة أخرى.,arabic,1.0,negative,"Maison, cuisine & bureau"
66566810_rev_4,وبالنسبة للثمن، فإنه يفعل ذلك.,arabic,3.0,neutral,"Maison, cuisine & bureau"
50632521_rev_5,تدابير كبيرة جيدة ولكن بدون دعم,arabic,3.0,neutral,TV & HIGH TECH
65774503_rev_4,إن المنتج ذو الأنسجة الضعيفة من نوعية سيئة,arabic,2.0,negative,Sports & Loisirs
mpg90555_rev_4,أي نوعية سيئة ؟???????????????????????,arabic,1.0,negative,TV & HIGH TECH
mpg1556186_rev_3,إن المنتج لا يعمل حتى مرتين، ويتوقف عن العمل.,arabic,1.0,negative,"Maison, cuisine & bureau"
67489671_rev_3,وجبة حقيقية خلال شهر رمضان، وآلة لا تخيب الأمل.,arabic,5.0,positive,"Maison, cuisine & bureau"
mpg1556169_rev_3,فهي فعالة مثل العلامات التجارية الأكثر تكلفة.,arabic,5.0,positive,"Maison, cuisine & bureau"
52734642_rev_4,لا يلتصق الخدوش بشكل جيد.,arabic,3.0,neutral,Sports & Loisirs
mpg92932_rev_4,هش جداً ,arabic,1.0,negative,TV & HIGH TECH
mpg1398156_rev_4,أنا لست راضًا عن شراءي على الإطلاق ، هناك بالفعل زر لا يعمل.,arabic,1.0,negative,"Maison, cuisine & bureau"
66012988_rev_3,منتج خاطئ. إنه يترجم بالتأكيد، ولكن لا يعيد بصوتي (التقديم الصوتي لا يعمل. لقد أعدت المنتج في 26 مايو. ولكن لا يوجد رد حتى الآن,arabic,1.0,negative,TV & HIGH TECH
mpg866179_rev_5,المنتج الأصلي، أنا أطلب.,arabic,5.0,positive,Informatique
65774067_rev_4,رؤية Mauvaise,arabic,2.0,negative,Sports & Loisirs
65603595_rev_4,لم يتم تسليم المنتج الذي طلبته ولم يتم سداد طلبي منذ 28 يوماً ... خدمة العملاء ضعيفة !!!!,arabic,1.0,negative,TV & HIGH TECH
67228364_rev_3,لا تقبل الرقائق المدفوعة مسبقاً، تحتاج إلى الرقائق من نوع الاشتراك، مشكلة APN غير معروفة.,arabic,3.0,neutral,TV & HIGH TECH
63928477_rev_3,هذه الكاميرا لا تعمل بشكل صحيح: يجب أن تبقى متعلقة باستمرار، مما يجعلها غير قابلة للاستخدام المعلن عنها. الخصائص الخادعة، وخاصة فيما يتعلق بطاقة الذاكرة (64 غو إلزامية) ، والمعلومات غير المحددة بوضوح. الجودة المصنعة ضعيفة، والكاميرا يمكن اكتشافها بسهولة، وبالتالي فهي لا فائدة من أي استخدام متواضع. بصراحة، هذه خسارة أموال. أنا آسف بشدة على هذه الشراء. هذه هي تجربتي الأولى على Jumia وهي سلبية للغاية. أنا أوصي بشدة على هذا المنتج والبائع.,arabic,2.0,negative,TV & HIGH TECH
65591945_rev_3,الأداة الموصى بها بشدة لمحبي التنافس والمغامرات,arabic,3.0,neutral,Sports & Loisirs
mpg53494_rev_5,Hachoir parfait أوصي بذلك,arabic,5.0,positive,"Maison, cuisine & bureau"
mpg1150540_rev_5,على سبيل المثال لا الحصر، فإن الساقين خفيفة جداً، وبالتالي فإنها تعطي بعض التوازن، أو أنها راضية جداً.,arabic,4.0,positive,TV & HIGH TECH
67139788_rev_3,مع المزيد من التطبيقات مع المزيد من التطبيقات,arabic,4.0,positive,TV & HIGH TECH
41362655_rev_3,يظهر اسم المحطات التي يتم عرضها,arabic,2.0,negative,TV & HIGH TECH
64158304_rev_3,إنّه عمليّ ، وأحبّه جيداً.,arabic,5.0,positive,TV & HIGH TECH
62807295_rev_4,قم بالقيام بالعملية ولكن ليس على القمة,arabic,3.0,neutral,"Maison, cuisine & bureau"
mpg1398156_rev_4,أنا لست راضًا عن شراءي على الإطلاق ، هناك بالفعل زر لا يعمل.,arabic,1.0,negative,"Maison, cuisine & bureau"
60222551_rev_4,يجب القيام بكل ما هو ضروري ليعمل هذا التلفزيون بوكس بشكل صحيح دون قطع أو استفسار الرمز في كل مرة.,arabic,1.0,negative,TV & HIGH TECH
65583726_rev_5,جودة جيدة,arabic,5.0,positive,TV & HIGH TECH
65099348_rev_5,حسناً، جيد جداً.,arabic,5.0,positive,"Maison, cuisine & bureau"
67371765_rev_4,وضع نظام على الثقوب لتسهيل فتحها,arabic,1.0,negative,Sports & Loisirs
64193435_rev_3,قوي جداً..,arabic,4.0,positive,"Maison, cuisine & bureau"
64760665_rev_4,بصراحة، أنا دائماً راض عن منتجات جوميا، ولكن هذه المرة هي الأفضل .,arabic,5.0,positive,TV & HIGH TECH
62879137_rev_4,لم يعمل,arabic,1.0,negative,TV & HIGH TECH
62526471_rev_3,ps mal,arabic,2.0,negative,Sports & Loisirs
66566810_rev_4,وبالنسبة للثمن، فإنه يفعل ذلك.,arabic,3.0,neutral,"Maison, cuisine & bureau"
mpg1487211_rev_3,الجودة الزائدة لا أوصي بها ، غالية جداً بالمقارنة مع الجودة,arabic,1.0,negative,"Maison, cuisine & bureau"
64548515_rev_3,لقد اشتريت هذا المطبخ الهوائي لتصميمه ، مع العديد من المستويات التي تسمح بإعداد العديد من الأطباق في نفس الوقت دون خلط أي شيء. الفرشة التي تدور للدجاج تعمل بشكل جيد ، وتطهي بشكل متساوي. بشكل عام ، إنه جهاز جيد لتنويع المطبخ دون الكثير من الزيت ، للمطبخ الحديث.,arabic,5.0,positive,"Maison, cuisine & bureau"
63523557_rev_3,في البداية، كان كل شيء يعمل بشكل جيد، ولكن بعد ثلاثة أسابيع، لا يزال جهاز التسارع متكاملًا.,arabic,3.0,neutral,Sports & Loisirs
67273093_rev_4,لا أوصي بذلك.,arabic,1.0,negative,"Maison, cuisine & bureau"
66566810_rev_4,وبالنسبة للثمن، فإنه يفعل ذلك.,arabic,3.0,neutral,"Maison, cuisine & bureau"
mpg1556186_rev_3,إن المنتج لا يعمل حتى مرتين، ويتوقف عن العمل.,arabic,1.0,negative,"Maison, cuisine & bureau"
67201651_rev_3,متوسط ,arabic,3.0,neutral,Sports & Loisirs
62879137_rev_4,لم يعمل,arabic,1.0,negative,TV & HIGH TECH
53990750_rev_4,حسناً.,arabic,3.0,neutral,"Maison, cuisine & bureau"
53682849_rev_5,إنها تعمل بشكل جيد,arabic,5.0,positive,"Maison, cuisine & bureau"
62807295_rev_4,قم بالقيام بالعملية ولكن ليس على القمة,arabic,3.0,neutral,"Maison, cuisine & bureau"
