,product_id,product_name,product_category,review_id,stars,review_text,review_length,language,sentiment,text_length,word_count
24,41127675,Barre fixe et parallèle OMISO  plus  white multifonctions professionnelle demontable + dips,Sports & Loisirs,41127675_rev_4,2.0,تفتقر إلى جميع أدوات التجميع، وليس محترفًا على الإطلاق.,66,arabic,negative,55,9
25,mpg77329,Tripod 3120 Support pour Camera et Telephone,TV & HIGH TECH,mpg77329_rev_4,1.0,الجودة العظيمة,16,arabic,negative,14,2
26,mpg886687,Puluz Boîte de Studio Photographie et shooting 40 cm Pliable 64 LED + 6 Couleurs de Fond,TV & HIGH TECH,mpg886687_rev_6,4.0,سهلة التصوير سهلة النقل سعر ميسور,71,arabic,positive,33,6
27,65743968,Taurus Presse agrume CITRUS COMPACT Double sens de rotation - 2ans de garantie,"Maison, cuisine & bureau",65743968_rev_3,3.0,لا يكون البلاستيك في المطبوعات الصمغية صلباً إذا كسر بسرعة في المرحلة الأولى من الاستخدام، وظهرت شقوق.,118,arabic,neutral,102,17
28,mpg1398157,Solac Friteuse à air sans huile Léviter Digital 5L 12 programmes-2ansdegarantie,"Maison, cuisine & bureau",mpg1398157_rev_4,3.0,الأوضاع المحددة مسبقاً ليست صحيحة تماماً، ويتعين إعادة ضبط الخلفية في كل مرة لإغلاقها بشكل صحيح.,111,arabic,neutral,96,16
29,65589111,"Ceinture de soutien ajustable pour les épaules,Protège d'épaule pour Sport pour Femme et homme",Sports & Loisirs,65589111_rev_3,1.0,يظهر رائحة قوية من المطاط.,40,arabic,negative,26,5
30,61067628,"Bande élastique de protection de genou, Genouillère & Orthèse avec sticker",Sports & Loisirs,61067628_rev_4,5.0,أنا أوصي بذلك,13,arabic,positive,13,3
31,mpg1146244,Pakka Gants de Musculation original,Sports & Loisirs,mpg1146244_rev_5,3.0,ثمن Bon Rapport على الجودة، ولكن ليس على القمة :) ,41,arabic,neutral,50,10
32,67315506,"Vision Smart TV LED 32"" Android + Abonnement Chaine 12 Mois",TV & HIGH TECH,67315506_rev_5,5.0,ممتاز، لا يوجد سوى بلوتوث.,39,arabic,positive,26,5
33,65769100,schlëizer Friteuse sans Huile - Airfryer -  2 paniers - 15 Litres -Germany,"Maison, cuisine & bureau",65769100_rev_5,1.0,15 لترًا صحيحًا ولكن التوزيع هو صفر 7.5 لترًا صغيرًا جدًا من حيث الحجم البصري ومفيدًا جدًا من مقلاة 5 لترًا.,129,arabic,negative,108,21
34,67236474,Boxer de Compression Homme Taille Haute – Sous-Vêtement Amincissant – Gaine Sculptante pour Ventre Plat et Taille Affinée – Maintien Musculaire et Confort Quotidien,Sports & Loisirs,67236474_rev_3,3.0,الضغط؟ لا حقاً، المادة والمرونة خفيفة جداً للاضغط على أي شيء.,103,arabic,neutral,61,11
35,mpg1141377,Pakka Gants Musculation et cyclisme pour hommes  et femmes en Cuir et Daim - Noir,Sports & Loisirs,mpg1141377_rev_4,3.0,لا بأس بذلك.,7,arabic,neutral,12,3
36,62172946,"TP-Link Caméra Surveillance WiFi,Tapo camera ip 1080P sans Fil",TV & HIGH TECH,62172946_rev_4,4.0,الجودة الجيدة,11,arabic,positive,13,2
37,65603595,"TP-Link PACK 2 Caméra Surveillance WiFi intérieure 360° Tapo C200, FHD 1080P",TV & HIGH TECH,65603595_rev_4,1.0,لم يتم تسليم المنتج الذي طلبته ولم يتم سداد طلبي منذ 28 يوماً ... خدمة العملاء ضعيفة !!!!,174,arabic,negative,89,18
38,38716040,"Samsung 32"" Smart Tv LED  Récepteur WIFI TNT USB HDMI dernière génération de S5",TV & HIGH TECH,38716040_rev_5,1.0,كان المنتج مُقدمًا مع الدعم المشمول، وعند التسليم لم أجد سوى التلفاز، وعندما أطلقت على الشركة، قالت إنها ستعيد لي 50 ألف دولار على حسابي، ولم يتم فعل أي شيء.,202,arabic,negative,157,30
39,58732551,Bosch micro-ondes encastrable en verre noir série6 20L Autopilot7 ouverture électronique 60x38cm,"Maison, cuisine & bureau",58732551_rev_3,5.0,حسناً جداً,9,arabic,positive,10,2
40,66568316,"60 Couvre-Oreilles Imperméables Jetables, Autocollants Étanches pour Douche, Natation, Surf et Sports Aquatiques, bébé & adulte",Sports & Loisirs,66568316_rev_4,5.0,جمع جيد، منتج ممتاز.,33,arabic,positive,20,4
41,61364653,Tefal Cuiseur Vapeur Convenient Inox VC1451 800W -900W,"Maison, cuisine & bureau",61364653_rev_3,5.0,إن الطهي سريع، والأجزاء تتحول إلى غسالة الأطباق، وحجمها كبير (للوصول إلى فكرة يمكنه أن يطبخ 4 طلاء من الدجاج انظر 5),141,arabic,positive,116,22
42,62631204,Bonnet de natation en silicone Imperméable Bonnet de Piscine & Sports Nautiques,Sports & Loisirs,62631204_rev_3,2.0,القنبلة ضيقة جدا على رأسها يجب أن تكون قياسية أنا خيبة أمل من الشراء,85,arabic,negative,68,14
43,41570626,BM-800 Professional Broadcasting Studio Recording Condenser Microphone Mic Kit,TV & HIGH TECH,41570626_rev_4,3.0,إنّه يفتقر إلى البطاقة الصغيرة.,31,arabic,neutral,31,5
44,41086042,"Support  mural Adaptable mobile High Qualité  TV 40""-70"" LED TV",TV & HIGH TECH,41086042_rev_3,3.0,لا تقلق، لا تقلق.,7,arabic,neutral,17,4
45,62807295,Taurus Friteuse à air sans huile AIR FRYER MAX FRY 12 programmes XXL 5.5L - 2ans de garantie,"Maison, cuisine & bureau",62807295_rev_4,3.0,قم بالقيام بالعملية ولكن ليس على القمة,27,arabic,neutral,38,7
46,57121603,JawLine exerciseur balle faciale mâchoire Muscle Toner entraînement Fitness Anti-âge,Sports & Loisirs,57121603_rev_6,5.0,Bon Bon Bon,3,arabic,positive,11,3
47,mpg1556169,Kenz Batteur Electrique VF-539 G-L 7 vitesse article 7677..,"Maison, cuisine & bureau",mpg1556169_rev_5,1.0,سوء الجودة,16,arabic,negative,10,2
48,mpg923468,"Trepied Tripod Tripied Pro 140cm  En Aluminium, 3 kg Max de Charge- Pour Selfie Video Telephone Camera Appareil photo",TV & HIGH TECH,mpg923468_rev_5,2.0,ضعيف بعض الشيء ومستقر في المتوسط، ويهدف فقط للمبتدئين.,71,arabic,negative,54,9
49,mpg46159,Tentes de Camping 4 PERSONNES Multicouleurs 208x208x145 cm,Sports & Loisirs,mpg46159_rev_5,3.0,الهشاشة,7,arabic,neutral,7,1
50,mpg1556186,Kenz Mixeur Plongeant avec 2 vitesses – Gris/blanc.,"Maison, cuisine & bureau",mpg1556186_rev_4,1.0,وقد توقف المنتج عن العمل بعد الاستخدام الثاني,63,arabic,negative,45,8
51,65758989,Mini caméra espion sans fil 4K WIFI trou d'épingle à faire soi-même vis HD IP DVR caméra de nounou,TV & HIGH TECH,65758989_rev_3,1.0,إن المنتج كاذب، والجودة لا تشمل 4K كما هو موضح، والصورة سيئة للغاية وخيبة أمل كبيرة.,100,arabic,negative,84,16
52,67273093,Taurus Aspirateur Balai Homeland Infinity Ultra Léger 600 W,"Maison, cuisine & bureau",67273093_rev_4,1.0,لا أوصي بذلك.,23,arabic,negative,13,3
53,mpg1544876,"Daiko Micro-ondes Grill 20 L, 700W, fonction décongélation, 5 niveaux, FMO-2042GDK","Maison, cuisine & bureau",mpg1544876_rev_4,4.0,أبعاد هذا المنتج ليست نفسها التي تظهر.,60,arabic,positive,38,7
54,50632533,"Green Screen Studio Photo (3*1,5m) Arriere plan Fond Vert ChromaKey (Sans Cadre Stand)",TV & HIGH TECH,50632533_rev_3,5.0,أوصي بهذا المنتج,29,arabic,positive,16,3
55,mpg1488197,Homy Panini Grill Toast 3IN1 Turbo Granit 2200W Pro Antiadhésive Barbecue sans huile sans beurre,"Maison, cuisine & bureau",mpg1488197_rev_3,5.0,منتج جيد ويتوافق مع الإعلان,41,arabic,positive,27,5
56,64860106,"Ensemble d'équipement de protection de fitness 8 Pcs, Genouillères et coudières",Sports & Loisirs,64860106_rev_3,4.0,منتج جيد,11,arabic,positive,8,2
57,mpg1347370,"Cadenas à combinaison à 3 chiffres , serrure à code, Anti-vol, cadenas à bagages 1pcs",Sports & Loisirs,mpg1347370_rev_4,2.0,فصيلة من السلاسل الضعيفة للغاية!,33,arabic,negative,32,5
58,65014321,Support de Téléphone et GoPro Réglable avec ceinture de poitrine et de Tète,TV & HIGH TECH,65014321_rev_5,1.0,يفتقر قطعة مهمة، وبالتالي فإن المنتج لا يمكن استخدامه.,63,arabic,negative,54,9
59,37934532,studio photographie avec Double bande Led Mini Studio Boite à lumière Lightbox,TV & HIGH TECH,37934532_rev_3,2.0,صغيرا جداً (الصور تشير إلى العكس) ، وأدى قوياً جداً وغير منتشراً، مما يخلق انعكاسات هائلة.,115,arabic,negative,90,16
60,66549012,"Daiko Presse-agrumes Bol en plastique incassable Rotation à double sens 0.7L, PA-3253DK","Maison, cuisine & bureau",66549012_rev_3,5.0,مقالة جيدة,11,arabic,positive,10,2
61,61115189,"Câble HDMI 1.5m Mâle / Mâle  pour Tv Led Plasma, PS et Ordinateur",TV & HIGH TECH,61115189_rev_6,1.0,ويتوقف الشاشة عن الاتصال مع أقل حركة.,47,arabic,negative,37,7
62,48359761,Radio Multibande Rechargeable Lecteur USB Carte TF MP3 Fm/AM/SW1-9 HT Senstivité,TV & HIGH TECH,48359761_rev_5,3.0,كنت أتمنى أن يتم بيع الراديو مع مفتاح USB الخاص به... لأن صعوبة في العثور على مفتاح USB متوافق,105,arabic,neutral,94,19
63,64217699,Antenne TNT TV numérique intérieure à gain élevé,TV & HIGH TECH,64217699_rev_4,2.0,هذا يتوافق مع الصورة ولكن الفضاء يفتقر إلى جزء مهم: مضخم الإشارة.,97,arabic,negative,65,12
64,54195731,Moulinex Blender LM42R810 Blendforce Bol Verre + Extra Bol + Moulin A Cafe,"Maison, cuisine & bureau",54195731_rev_3,5.0,العرس ,4,arabic,positive,6,1
65,mpg1544863,"Daiko 50 QLED 4K UHD Smart Google TV HDR10, Dolby Audio, 120 Hz, QLED50GU25DK, 2 ans garantie",TV & HIGH TECH,mpg1544863_rev_3,5.0,تروس بون,8,arabic,positive,8,2
66,62807295,Taurus Friteuse à air sans huile AIR FRYER MAX FRY 12 programmes XXL 5.5L - 2ans de garantie,"Maison, cuisine & bureau",62807295_rev_4,3.0,قم بالقيام بالعملية ولكن ليس على القمة,27,arabic,neutral,38,7
67,38716040,"Samsung 32"" Smart Tv LED  Récepteur WIFI TNT USB HDMI dernière génération de S5",TV & HIGH TECH,38716040_rev_5,1.0,كان المنتج مُقدمًا مع الدعم المشمول، وعند التسليم لم أجد سوى التلفاز، وعندما أطلقت على الشركة، قالت إنها ستعيد لي 50 ألف دولار على حسابي، ولم يتم فعل أي شيء.,202,arabic,negative,157,30
68,67273093,Taurus Aspirateur Balai Homeland Infinity Ultra Léger 600 W,"Maison, cuisine & bureau",67273093_rev_5,1.0,جوميا أيضا لا ثقة ولا حماية المستهلك الخبرة السيئة مع شراء جوميا يجب أن تشتري مباشرة من المتجر لا ثقة,153,arabic,negative,101,20
69,56048220,Joma Chaussures Futsal AGUILA black  Chaussure football tout terrain noir,Sports & Loisirs,56048220_rev_3,1.0,لم أكن راضًا على الإطلاق، بل وصلت طلبي يوم السبت 03 سبتمبر مع خصم حوالي الساعة 11 صباحًا، ولم أستلم إلا يوم الاثنين 05 سبتمبر.,126,arabic,negative,126,25
70,63523557,Accélérateur Scooter électrique pour Xiaomi Pro M365,Sports & Loisirs,63523557_rev_3,3.0,في البداية، كان كل شيء يعمل بشكل جيد، ولكن بعد ثلاثة أسابيع، لا يزال جهاز التسارع متكاملًا.,86,arabic,neutral,91,17
71,41570626,BM-800 Professional Broadcasting Studio Recording Condenser Microphone Mic Kit,TV & HIGH TECH,41570626_rev_3,2.0,كانت جودة الصوت السيئة، ووقفت الشريحة عن المشي بعد ثلاثة أيام.,79,arabic,negative,62,11
72,60840048,DECAKILA Mixeur sur socle 570ml,"Maison, cuisine & bureau",60840048_rev_4,3.0,إنه ليس قويا بما فيه الكفاية,27,arabic,neutral,28,6
73,48570357,Genouillère Bande Genou de Sport élastiques protection - Douleur Genoux,Sports & Loisirs,48570357_rev_3,1.0,الجودة صفر,12,arabic,negative,10,2
74,mpg934749,Bosch MMR08R2 MINI HACHOIR Rouge : Couteau inox + Multifonction ; 400W,"Maison, cuisine & bureau",mpg934749_rev_4,5.0,منتج عالي الجودة للغاية ، أوصي به,45,arabic,positive,33,7
75,40800726,"Ring Light LED 33cm + Trepied Tripod 2M et Support Telephone, Selfie Video Photo",TV & HIGH TECH,40800726_rev_4,3.0,ضوء ضئيل,14,arabic,neutral,8,2
76,63024205,"Taurus Aspirateur balai sans fil 3en1, Autonomie 60 min, 29,6V, 2 vitesses,Lumière LED","Maison, cuisine & bureau",63024205_rev_3,1.0,طلبت إرجاعها في نفس اليوم الذي استلمت فيه المادة، لأنّ الفرشاة لا تتغلق كما شرحت للعميل، لكن خبراء تقنيّتهم قالوا إنّها تعمل بشكلٍ جيد !! ، وقد تمّ إرجاع المادة من قبل عميلٍ آخر، وتواصل تداول المادة الخاطئة، إما أنهم يتعاملون مع المورد، أو يرفضون الحصول على تعويضي.,654,arabic,negative,265,48
77,mpg1399528,PROFI CARE Aspirateur à main et au sol à batterie haute performance - nettoyage sans fil,"Maison, cuisine & bureau",mpg1399528_rev_3,2.0,المنتج صحيح. للأسف، تُفصل عجلات الجدول بعد حوالي ستة أشهر من شرائها. إنها خارج المقصورة، مما يجعلها عرضة للخطر. أنا لا أوصي بأي شكل من الأشكال بهذه المادة على هذا السعر لاستخدام قصير.,257,arabic,negative,183,33
78,67624804,beIN SPORTS STREAM TV Box avec 3 Mois d’abonnement,TV & HIGH TECH,67624804_rev_4,5.0,ثلاثة جيد ,9,arabic,positive,10,2
79,mpg931294,"Top Sport Tapis de Yoga et Fitness, Extra Epais 15mm, 180 x 60 cm abdo cardio musculation",Sports & Loisirs,mpg931294_rev_5,3.0,هذا ليس ما يظهر في الصورة، ولكنه يقوم بعمله في كل الأحوال.,65,arabic,neutral,58,12
80,65589111,"Ceinture de soutien ajustable pour les épaules,Protège d'épaule pour Sport pour Femme et homme",Sports & Loisirs,65589111_rev_4,1.0,سوء الجودة,16,arabic,negative,10,2
81,65635983,"Support pour GoPro hero 12, GoPro hero 11, GoPro hero 10, GoPro hero 9, 8, 7, 6, 5, 4 + Ceinture Sangle de poitrine de Telephone",TV & HIGH TECH,65635983_rev_3,4.0,نسبة قيمة جيدة. مفيدة للغاية.,41,arabic,positive,29,5
82,mpg931294,"Top Sport Tapis de Yoga et Fitness, Extra Epais 15mm, 180 x 60 cm abdo cardio musculation",Sports & Loisirs,mpg931294_rev_4,1.0,إن المنتج الذي لم يتوافق مع التعريف، 10ملم بدلاً من 15ملم، جودة السجاد ضعيفة.,87,arabic,negative,77,14
83,67527326,"Echolink Smart TV 32"" QLED - WhaleOS - Wifi - Récepteur Intégré - HD 2.4/5GHz Bluetooth + Support Mural",TV & HIGH TECH,67527326_rev_4,5.0,نسبة الجودة الجيدة للأسعار,24,arabic,positive,26,4
84,63949403,poignée _ Musclet de main-Hand grip-Éponge Poignée 5kg/60kg,Sports & Loisirs,63949403_rev_5,3.0,كمبيوتر cassé,14,arabic,neutral,13,2
85,67201651,"Tapis Antidérapante pour yoga,Fitness, sport et gymnastique, Tapis Multifonctionnel 180x50x0,6cm, Bleu",Sports & Loisirs,67201651_rev_3,3.0,متوسط ,8,arabic,neutral,6,1
86,63134375,Mellerware Hachoir chopper électrique 360ml,"Maison, cuisine & bureau",63134375_rev_3,1.0,غير قابلة للاستعمال في داخل الجهاز، من المستحيل فتحها لإصلاحها لذلك..,131,arabic,negative,69,11
87,65769100,schlëizer Friteuse sans Huile - Airfryer -  2 paniers - 15 Litres -Germany,"Maison, cuisine & bureau",65769100_rev_5,1.0,15 لترًا صحيحًا ولكن التوزيع هو صفر 7.5 لترًا صغيرًا جدًا من حيث الحجم البصري ومفيدًا جدًا من مقلاة 5 لترًا.,129,arabic,negative,108,21
88,66151905,Câble de charge haute vitesse PD 240W QC 4.0 USB Type-C vers Type-C pour Téléphone PC et Mac 48V 5A,TV & HIGH TECH,66151905_rev_6,5.0,خالي من العيب,10,arabic,positive,13,3
89,62631204,Bonnet de natation en silicone Imperméable Bonnet de Piscine & Sports Nautiques,Sports & Loisirs,62631204_rev_3,2.0,القنبلة ضيقة جدا على رأسها يجب أن تكون قياسية أنا خيبة أمل من الشراء,85,arabic,negative,68,14
90,mpg1544723,"REVOLUTION 24 HD Ready LED Tv HD Récepteur intégré + TNT + HDMI, USB, A+DC, Support Mural",TV & HIGH TECH,mpg1544723_rev_3,2.0,التلفزيون يعمل بشكل جيد ولكن المستقبل المدمج لا يستقبل أي إشارات.,71,arabic,negative,65,11
91,mpg1544723,"REVOLUTION 24 HD Ready LED Tv HD Récepteur intégré + TNT + HDMI, USB, A+DC, Support Mural",TV & HIGH TECH,mpg1544723_rev_3,2.0,التلفزيون يعمل بشكل جيد ولكن المستقبل المدمج لا يستقبل أي إشارات.,71,arabic,negative,65,11
92,mpg1544888,"Samsung 32 HD Smart TV One UI Tizen, HDR, TV Plus gratuit + Support Gratuit, 32H5000F",TV & HIGH TECH,mpg1544888_rev_4,3.0,ويتعين عليّ ربط جهاز استقبال خارجي,39,arabic,neutral,34,6
93,61386348,XIAOMI Nouveau Model 2023 Mi Home Security caméra IP intelligente 1080P WiFi 360,TV & HIGH TECH,61386348_rev_5,3.0,ممتاز .,12,arabic,neutral,7,2
94,40800725,"Ring Light LED 33cm avec Trepied et Support Telephone, Selfie RingLight pour Live Video/Maquillage/Vlog",TV & HIGH TECH,40800725_rev_5,3.0,لا بأس بذلك.,7,arabic,neutral,12,3
95,60222551,X96 X96Q PRO Smart TV BOX Dual Wifi 4Go+32Go Allwinner H616 6K ANDROID 15,TV & HIGH TECH,60222551_rev_6,1.0,يوتيوب لا يعمل ولا نيتفليكس,64,arabic,negative,27,5
96,34408767,"Bosch MSM2650B Mixeur plongeant 3en1,blender, batteur et hachoir ,noir ,600w ,système QuattroBlade","Maison, cuisine & bureau",34408767_rev_4,5.0,آلة قوية جدا,22,arabic,positive,12,3
97,65289408,paire de poids ajustables au poignet et à la cheville,Sports & Loisirs,65289408_rev_3,4.0,نسبة الجودة الجيدة للأسعار,24,arabic,positive,26,4
98,62091910,Curver Lot de 2 Accumulateur de Froid 400g – Blocs réfrigérants (2 pièces),Sports & Loisirs,62091910_rev_4,3.0,الجودة المتوسطة لهذا السعر,28,arabic,neutral,26,4
99,63523557,Accélérateur Scooter électrique pour Xiaomi Pro M365,Sports & Loisirs,63523557_rev_3,3.0,في البداية، كان كل شيء يعمل بشكل جيد، ولكن بعد ثلاثة أسابيع، لا يزال جهاز التسارع متكاملًا.,86,arabic,neutral,91,17
100,65758989,Mini caméra espion sans fil 4K WIFI trou d'épingle à faire soi-même vis HD IP DVR caméra de nounou,TV & HIGH TECH,65758989_rev_3,1.0,إن المنتج كاذب، والجودة لا تشمل 4K كما هو موضح، والصورة سيئة للغاية وخيبة أمل كبيرة.,100,arabic,negative,84,16
101,mpg1556186,Kenz Mixeur Plongeant avec 2 vitesses – Gris/blanc.,"Maison, cuisine & bureau",mpg1556186_rev_4,1.0,وقد توقف المنتج عن العمل بعد الاستخدام الثاني,63,arabic,negative,45,8
102,65603593,Télécommande Intelligente Bluetooth Magic pour téléviseur Samsung SMART reconnaissance vocal,TV & HIGH TECH,65603593_rev_4,1.0,الصوت والألوان المتحركة لا تتحرك,37,arabic,negative,32,5
103,41072832,Taurus Blender Active Professional 1500w Bol incassable 2L - 2 ans de garantie,"Maison, cuisine & bureau",41072832_rev_4,1.0,عزيزي جدا,10,arabic,negative,9,2
104,62988362,"Lampe de poche 70.2 LED rechargeables, super lumineuses, zoomables",Sports & Loisirs,62988362_rev_4,3.0,إن قدرة البطارية مقارنة بقوة مصباح المصباح غير كافية.,85,arabic,neutral,53,9
105,mpg1337936,MINI Wifi Smart Light Switch 2 Way Diy Breaker Module Smartالاضاءة الدكية,TV & HIGH TECH,mpg1337936_rev_5,4.0,لسوء الحظ لا أستطيع تثبيتها ولكنها تبدو جيدة.,64,arabic,positive,45,8
106,mpg875665,PACK DE 100 Pcs barbecue EN BOIS PULSES POUR BROCHETTE purement naturel,Sports & Loisirs,mpg875665_rev_3,3.0,حسناً ????,9,arabic,neutral,10,2
107,mpg92932,Trépied  pour camera et téléphone ajustable et très solide YOUTUBEUR,TV & HIGH TECH,mpg92932_rev_5,5.0,حسناً جداً,9,arabic,positive,10,2
108,63523557,Accélérateur Scooter électrique pour Xiaomi Pro M365,Sports & Loisirs,63523557_rev_3,3.0,في البداية، كان كل شيء يعمل بشكل جيد، ولكن بعد ثلاثة أسابيع، لا يزال جهاز التسارع متكاملًا.,86,arabic,neutral,91,17
109,64721374,Tefal HACHOIR MANUEL K1320404 900ML,"Maison, cuisine & bureau",64721374_rev_5,5.0,الأشجار المناسبة ذات الجودة الجيدة,34,arabic,positive,34,5
110,65029886,"Support de Téléphone et GoPro réglable avec sangle de poitrine, fixation rapide",TV & HIGH TECH,65029886_rev_3,3.0,حسناً ???? ماذا؟,14,arabic,neutral,16,3
111,mpg1544888,"Samsung 32 HD Smart TV One UI Tizen, HDR, TV Plus gratuit + Support Gratuit, 32H5000F",TV & HIGH TECH,mpg1544888_rev_4,3.0,ويتعين عليّ ربط جهاز استقبال خارجي,39,arabic,neutral,34,6
112,mpg1150396,Door Gym Barre Fixe 12 Positions en métal + Support Mural,Sports & Loisirs,mpg1150396_rev_4,3.0,بعد الاختبار، سيكون من الضروري إجراء تعديل كبير ليتم توصيله إلى الحائط.,75,arabic,neutral,71,12
113,25705075,UNIVERSAL 1080P Mini HDMI to RCA Audio Video AV CVBS HD TV VCR VHS DVD Adapter Converter,Informatique,25705075_rev_3,1.0,يعمل في البداية، ثم بالأبيض والأسود.حاولت تغيير PAL/NTSC ولكن لا شيء.,93,arabic,negative,69,11
114,41086042,"Support  mural Adaptable mobile High Qualité  TV 40""-70"" LED TV",TV & HIGH TECH,41086042_rev_3,3.0,لا تقلق، لا تقلق.,7,arabic,neutral,17,4
