review_id,text,language,rating,sentiment,product_category,text_clean_classique,text_clean_light
38716040_rev_5,كان المنتج مُقدمًا مع الدعم المشمول، وعند التسليم لم أجد سوى التلفاز، وعندما أطلقت على الشركة، قالت إنها ستعيد لي 50 ألف دولار على حسابي، ولم يتم فعل أي شيء.,ARABIC,1.0,negative,TV & HIGH TECH,كان المنتج مع الدعم وعند التسليم لم أجد سوى وعندما أطلقت على قالت إنها ستعيد لي ألف دولار على ولم يتم فعل أي شيء,كان المنتج مُقدمًا مع الدعم المشمول، وعند التسليم لم أجد سوى التلفاز، وعندما أطلقت على الشركة، قالت إنها ستعيد لي 50 ألف دولار على حسابي، ولم يتم فعل أي شيء.
58732551_rev_3,حسناً جداً,ARABIC,5.0,positive,"Maison, cuisine & bureau",,حسناً جداً
66568316_rev_4,جمع جيد، منتج ممتاز.,ARABIC,5.0,positive,Sports & Loisirs,جمع منتج ممتاز,جمع جيد، منتج ممتاز.
61364653_rev_3,إن الطهي سريع، والأجزاء تتحول إلى غسالة الأطباق، وحجمها كبير (للوصول إلى فكرة يمكنه أن يطبخ 4 طلاء من الدجاج انظر 5),ARABIC,5.0,positive,"Maison, cuisine & bureau",إن الطهي والأجزاء تتحول إلى غسالة وحجمها كبير للوصول إلى فكرة يمكنه أن يطبخ طلاء من الدجاج انظر,إن الطهي سريع، والأجزاء تتحول إلى غسالة الأطباق، وحجمها كبير (للوصول إلى فكرة يمكنه أن يطبخ 4 طلاء من الدجاج انظر 5)
62631204_rev_3,القنبلة ضيقة جدا على رأسها يجب أن تكون قياسية أنا خيبة أمل من الشراء,ARABIC,2.0,negative,Sports & Loisirs,القنبلة ضيقة جدا على رأسها يجب أن تكون قياسية أنا خيبة أمل من الشراء,القنبلة ضيقة جدا على رأسها يجب أن تكون قياسية أنا خيبة أمل من الشراء
41570626_rev_4,إنّه يفتقر إلى البطاقة الصغيرة.,ARABIC,3.0,neutral,TV & HIGH TECH,يفتقر إلى البطاقة الصغيرة,إنّه يفتقر إلى البطاقة الصغيرة.
41086042_rev_3,لا تقلق، لا تقلق.,ARABIC,3.0,neutral,TV & HIGH TECH,لا لا تقلق,لا تقلق، لا تقلق.
62807295_rev_4,قم بالقيام بالعملية ولكن ليس على القمة,ARABIC,3.0,neutral,"Maison, cuisine & bureau",قم بالقيام بالعملية ولكن ليس على القمة,قم بالقيام بالعملية ولكن ليس على القمة
57121603_rev_6,Bon Bon Bon,ARABIC,5.0,positive,Sports & Loisirs,bon bon bon,bon bon bon
mpg1556169_rev_5,سوء الجودة,ARABIC,1.0,negative,"Maison, cuisine & bureau",سوء الجودة,سوء الجودة
mpg923468_rev_5,ضعيف بعض الشيء ومستقر في المتوسط، ويهدف فقط للمبتدئين.,ARABIC,2.0,negative,TV & HIGH TECH,ضعيف بعض الشيء ومستقر في ويهدف فقط للمبتدئين,ضعيف بعض الشيء ومستقر في المتوسط، ويهدف فقط للمبتدئين.
mpg46159_rev_5,الهشاشة,ARABIC,3.0,neutral,Sports & Loisirs,الهشاشة,الهشاشة
mpg1556186_rev_4,وقد توقف المنتج عن العمل بعد الاستخدام الثاني,ARABIC,1.0,negative,"Maison, cuisine & bureau",وقد توقف المنتج عن العمل بعد الاستخدام الثاني,وقد توقف المنتج عن العمل بعد الاستخدام الثاني
65758989_rev_3,إن المنتج كاذب، والجودة لا تشمل 4K كما هو موضح، والصورة سيئة للغاية وخيبة أمل كبيرة.,ARABIC,1.0,negative,TV & HIGH TECH,إن المنتج والجودة لا تشمل k كما هو والصورة سيئة للغاية وخيبة أمل كبيرة,إن المنتج كاذب، والجودة لا تشمل 4k كما هو موضح، والصورة سيئة للغاية وخيبة أمل كبيرة.
67273093_rev_4,لا أوصي بذلك.,ARABIC,1.0,negative,"Maison, cuisine & bureau",لا أوصي بذلك,لا أوصي بذلك.
mpg1544876_rev_4,أبعاد هذا المنتج ليست نفسها التي تظهر.,ARABIC,4.0,positive,"Maison, cuisine & bureau",أبعاد هذا المنتج ليست نفسها التي تظهر,أبعاد هذا المنتج ليست نفسها التي تظهر.
50632533_rev_3,أوصي بهذا المنتج,ARABIC,5.0,positive,TV & HIGH TECH,أوصي بهذا المنتج,أوصي بهذا المنتج
mpg1488197_rev_3,منتج جيد ويتوافق مع الإعلان,ARABIC,5.0,positive,"Maison, cuisine & bureau",منتج جيد ويتوافق مع الإعلان,منتج جيد ويتوافق مع الإعلان
64860106_rev_3,منتج جيد,ARABIC,4.0,positive,Sports & Loisirs,منتج جيد,منتج جيد
mpg1347370_rev_4,فصيلة من السلاسل الضعيفة للغاية!,ARABIC,2.0,negative,Sports & Loisirs,فصيلة من السلاسل الضعيفة للغاية,فصيلة من السلاسل الضعيفة للغاية!
65014321_rev_5,يفتقر قطعة مهمة، وبالتالي فإن المنتج لا يمكن استخدامه.,ARABIC,1.0,negative,TV & HIGH TECH,يفتقر قطعة وبالتالي فإن المنتج لا يمكن استخدامه,يفتقر قطعة مهمة، وبالتالي فإن المنتج لا يمكن استخدامه.
37934532_rev_3,صغيرا جداً (الصور تشير إلى العكس) ، وأدى قوياً جداً وغير منتشراً، مما يخلق انعكاسات هائلة.,ARABIC,2.0,negative,TV & HIGH TECH,صغيرا الصور تشير إلى العكس وأدى وغير مما يخلق انعكاسات هائلة,صغيرا جداً (الصور تشير إلى العكس) ، وأدى قوياً جداً وغير منتشراً، مما يخلق انعكاسات هائلة.
66549012_rev_3,مقالة جيدة,ARABIC,5.0,positive,"Maison, cuisine & bureau",مقالة جيدة,مقالة جيدة
61115189_rev_6,ويتوقف الشاشة عن الاتصال مع أقل حركة.,ARABIC,1.0,negative,TV & HIGH TECH,ويتوقف الشاشة عن الاتصال مع أقل حركة,ويتوقف الشاشة عن الاتصال مع أقل حركة.
48359761_rev_5,كنت أتمنى أن يتم بيع الراديو مع مفتاح USB الخاص به... لأن صعوبة في العثور على مفتاح USB متوافق,ARABIC,3.0,neutral,TV & HIGH TECH,كنت أتمنى أن يتم بيع الراديو مع مفتاح usb الخاص به لأن صعوبة في العثور على مفتاح usb متوافق,كنت أتمنى أن يتم بيع الراديو مع مفتاح usb الخاص به... لأن صعوبة في العثور على مفتاح usb متوافق
64217699_rev_4,هذا يتوافق مع الصورة ولكن الفضاء يفتقر إلى جزء مهم: مضخم الإشارة.,ARABIC,2.0,negative,TV & HIGH TECH,هذا يتوافق مع الصورة ولكن الفضاء يفتقر إلى جزء مهم مضخم الإشارة,هذا يتوافق مع الصورة ولكن الفضاء يفتقر إلى جزء مهم: مضخم الإشارة.
54195731_rev_3,العرس ,ARABIC,5.0,positive,"Maison, cuisine & bureau",العرس,العرس
mpg1544863_rev_3,تروس بون,ARABIC,5.0,positive,TV & HIGH TECH,تروس بون,تروس بون
62807295_rev_4,قم بالقيام بالعملية ولكن ليس على القمة,ARABIC,3.0,neutral,"Maison, cuisine & bureau",قم بالقيام بالعملية ولكن ليس على القمة,قم بالقيام بالعملية ولكن ليس على القمة
38716040_rev_5,كان المنتج مُقدمًا مع الدعم المشمول، وعند التسليم لم أجد سوى التلفاز، وعندما أطلقت على الشركة، قالت إنها ستعيد لي 50 ألف دولار على حسابي، ولم يتم فعل أي شيء.,ARABIC,1.0,negative,TV & HIGH TECH,كان المنتج مع الدعم وعند التسليم لم أجد سوى وعندما أطلقت على قالت إنها ستعيد لي ألف دولار على ولم يتم فعل أي شيء,كان المنتج مُقدمًا مع الدعم المشمول، وعند التسليم لم أجد سوى التلفاز، وعندما أطلقت على الشركة، قالت إنها ستعيد لي 50 ألف دولار على حسابي، ولم يتم فعل أي شيء.
67273093_rev_5,جوميا أيضا لا ثقة ولا حماية المستهلك الخبرة السيئة مع شراء جوميا يجب أن تشتري مباشرة من المتجر لا ثقة,ARABIC,1.0,negative,"Maison, cuisine & bureau",جوميا أيضا لا ثقة ولا حماية المستهلك الخبرة السيئة مع شراء جوميا يجب أن تشتري مباشرة من المتجر لا ثقة,جوميا أيضا لا ثقة ولا حماية المستهلك الخبرة السيئة مع شراء جوميا يجب أن تشتري مباشرة من المتجر لا ثقة
56048220_rev_3,لم أكن راضًا على الإطلاق، بل وصلت طلبي يوم السبت 03 سبتمبر مع خصم حوالي الساعة 11 صباحًا، ولم أستلم إلا يوم الاثنين 05 سبتمبر.,ARABIC,1.0,negative,Sports & Loisirs,لم أكن على بل وصلت طلبي يوم السبت سبتمبر مع خصم حوالي الساعة ولم أستلم إلا يوم الاثنين سبتمبر,لم أكن راضًا على الإطلاق، بل وصلت طلبي يوم السبت 03 سبتمبر مع خصم حوالي الساعة 11 صباحًا، ولم أستلم إلا يوم الاثنين 05 سبتمبر.
63523557_rev_3,في البداية، كان كل شيء يعمل بشكل جيد، ولكن بعد ثلاثة أسابيع، لا يزال جهاز التسارع متكاملًا.,ARABIC,3.0,neutral,Sports & Loisirs,في كان كل شيء يعمل بشكل ولكن بعد ثلاثة لا يزال جهاز التسارع,في البداية، كان كل شيء يعمل بشكل جيد، ولكن بعد ثلاثة أسابيع، لا يزال جهاز التسارع متكاملًا.
41570626_rev_3,كانت جودة الصوت السيئة، ووقفت الشريحة عن المشي بعد ثلاثة أيام.,ARABIC,2.0,negative,TV & HIGH TECH,كانت جودة الصوت ووقفت الشريحة عن المشي بعد ثلاثة أيام,كانت جودة الصوت السيئة، ووقفت الشريحة عن المشي بعد ثلاثة أيام.
60840048_rev_4,إنه ليس قويا بما فيه الكفاية,ARABIC,3.0,neutral,"Maison, cuisine & bureau",إنه ليس قويا بما فيه الكفاية,إنه ليس قويا بما فيه الكفاية
48570357_rev_3,الجودة صفر,ARABIC,1.0,negative,Sports & Loisirs,الجودة صفر,الجودة صفر
mpg934749_rev_4,منتج عالي الجودة للغاية ، أوصي به,ARABIC,5.0,positive,"Maison, cuisine & bureau",منتج عالي الجودة للغاية أوصي به,منتج عالي الجودة للغاية ، أوصي به
40800726_rev_4,ضوء ضئيل,ARABIC,3.0,neutral,TV & HIGH TECH,ضوء ضئيل,ضوء ضئيل
63024205_rev_3,طلبت إرجاعها في نفس اليوم الذي استلمت فيه المادة، لأنّ الفرشاة لا تتغلق كما شرحت للعميل، لكن خبراء تقنيّتهم قالوا إنّها تعمل بشكلٍ جيد !! ، وقد تمّ إرجاع المادة من قبل عميلٍ آخر، وتواصل تداول المادة الخاطئة، إما أنهم يتعاملون مع المورد، أو يرفضون الحصول على تعويضي.,ARABIC,1.0,negative,"Maison, cuisine & bureau",طلبت إرجاعها في نفس اليوم الذي استلمت فيه الفرشاة لا تتغلق كما شرحت لكن خبراء قالوا تعمل جيد وقد إرجاع المادة من قبل وتواصل تداول المادة إما أنهم يتعاملون مع أو يرفضون الحصول على تعويضي,طلبت إرجاعها في نفس اليوم الذي استلمت فيه المادة، لأنّ الفرشاة لا تتغلق كما شرحت للعميل، لكن خبراء تقنيّتهم قالوا إنّها تعمل بشكلٍ جيد !! ، وقد تمّ إرجاع المادة من قبل عميلٍ آخر، وتواصل تداول المادة الخاطئة، إما أنهم يتعاملون مع المورد، أو يرفضون الحصول على تعويضي.
mpg1399528_rev_3,المنتج صحيح. للأسف، تُفصل عجلات الجدول بعد حوالي ستة أشهر من شرائها. إنها خارج المقصورة، مما يجعلها عرضة للخطر. أنا لا أوصي بأي شكل من الأشكال بهذه المادة على هذا السعر لاستخدام قصير.,ARABIC,2.0,negative,"Maison, cuisine & bureau",المنتج صحيح عجلات الجدول بعد حوالي ستة أشهر من شرائها إنها خارج مما يجعلها عرضة للخطر أنا لا أوصي بأي شكل من الأشكال بهذه المادة على هذا السعر لاستخدام قصير,المنتج صحيح. للأسف، تُفصل عجلات الجدول بعد حوالي ستة أشهر من شرائها. إنها خارج المقصورة، مما يجعلها عرضة للخطر. أنا لا أوصي بأي شكل من الأشكال بهذه المادة على هذا السعر لاستخدام قصير.
67624804_rev_4,ثلاثة جيد ,ARABIC,5.0,positive,TV & HIGH TECH,ثلاثة جيد,ثلاثة جيد
mpg931294_rev_5,هذا ليس ما يظهر في الصورة، ولكنه يقوم بعمله في كل الأحوال.,ARABIC,3.0,neutral,Sports & Loisirs,هذا ليس ما يظهر في ولكنه يقوم بعمله في كل الأحوال,هذا ليس ما يظهر في الصورة، ولكنه يقوم بعمله في كل الأحوال.
65589111_rev_4,سوء الجودة,ARABIC,1.0,negative,Sports & Loisirs,سوء الجودة,سوء الجودة
65635983_rev_3,نسبة قيمة جيدة. مفيدة للغاية.,ARABIC,4.0,positive,TV & HIGH TECH,نسبة قيمة جيدة مفيدة للغاية,نسبة قيمة جيدة. مفيدة للغاية.
mpg931294_rev_4,إن المنتج الذي لم يتوافق مع التعريف، 10ملم بدلاً من 15ملم، جودة السجاد ضعيفة.,ARABIC,1.0,negative,Sports & Loisirs,إن المنتج الذي لم يتوافق مع ملم من جودة السجاد ضعيفة,إن المنتج الذي لم يتوافق مع التعريف، 10ملم بدلاً من 15ملم، جودة السجاد ضعيفة.
67527326_rev_4,نسبة الجودة الجيدة للأسعار,ARABIC,5.0,positive,TV & HIGH TECH,نسبة الجودة الجيدة للأسعار,نسبة الجودة الجيدة للأسعار
63949403_rev_5,كمبيوتر cassé,ARABIC,3.0,neutral,Sports & Loisirs,كمبيوتر cassé,كمبيوتر cassé
67201651_rev_3,متوسط ,ARABIC,3.0,neutral,Sports & Loisirs,متوسط,متوسط
63134375_rev_3,غير قابلة للاستعمال في داخل الجهاز، من المستحيل فتحها لإصلاحها لذلك..,ARABIC,1.0,negative,"Maison, cuisine & bureau",غير قابلة للاستعمال في داخل من المستحيل فتحها لإصلاحها لذلك,غير قابلة للاستعمال في داخل الجهاز، من المستحيل فتحها لإصلاحها لذلك..
65769100_rev_5,15 لترًا صحيحًا ولكن التوزيع هو صفر 7.5 لترًا صغيرًا جدًا من حيث الحجم البصري ومفيدًا جدًا من مقلاة 5 لترًا.,ARABIC,1.0,negative,"Maison, cuisine & bureau",ولكن التوزيع هو صفر من حيث الحجم البصري من مقلاة,15 لترًا صحيحًا ولكن التوزيع هو صفر 7.5 لترًا صغيرًا جدًا من حيث الحجم البصري ومفيدًا جدًا من مقلاة 5 لترًا.
66151905_rev_6,خالي من العيب,ARABIC,5.0,positive,TV & HIGH TECH,خالي من العيب,خالي من العيب
62631204_rev_3,القنبلة ضيقة جدا على رأسها يجب أن تكون قياسية أنا خيبة أمل من الشراء,ARABIC,2.0,negative,Sports & Loisirs,القنبلة ضيقة جدا على رأسها يجب أن تكون قياسية أنا خيبة أمل من الشراء,القنبلة ضيقة جدا على رأسها يجب أن تكون قياسية أنا خيبة أمل من الشراء
mpg1544723_rev_3,التلفزيون يعمل بشكل جيد ولكن المستقبل المدمج لا يستقبل أي إشارات.,ARABIC,2.0,negative,TV & HIGH TECH,التلفزيون يعمل بشكل جيد ولكن المستقبل المدمج لا يستقبل أي إشارات,التلفزيون يعمل بشكل جيد ولكن المستقبل المدمج لا يستقبل أي إشارات.
mpg1544723_rev_3,التلفزيون يعمل بشكل جيد ولكن المستقبل المدمج لا يستقبل أي إشارات.,ARABIC,2.0,negative,TV & HIGH TECH,التلفزيون يعمل بشكل جيد ولكن المستقبل المدمج لا يستقبل أي إشارات,التلفزيون يعمل بشكل جيد ولكن المستقبل المدمج لا يستقبل أي إشارات.
mpg1544888_rev_4,ويتعين عليّ ربط جهاز استقبال خارجي,ARABIC,3.0,neutral,TV & HIGH TECH,ويتعين ربط جهاز استقبال خارجي,ويتعين عليّ ربط جهاز استقبال خارجي
61386348_rev_5,ممتاز .,ARABIC,3.0,neutral,TV & HIGH TECH,ممتاز,ممتاز .
40800725_rev_5,لا بأس بذلك.,ARABIC,3.0,neutral,TV & HIGH TECH,لا بأس بذلك,لا بأس بذلك.
60222551_rev_6,يوتيوب لا يعمل ولا نيتفليكس,ARABIC,1.0,negative,TV & HIGH TECH,يوتيوب لا يعمل ولا نيتفليكس,يوتيوب لا يعمل ولا نيتفليكس
34408767_rev_4,آلة قوية جدا,ARABIC,5.0,positive,"Maison, cuisine & bureau",آلة قوية جدا,آلة قوية جدا
65289408_rev_3,نسبة الجودة الجيدة للأسعار,ARABIC,4.0,positive,Sports & Loisirs,نسبة الجودة الجيدة للأسعار,نسبة الجودة الجيدة للأسعار
62091910_rev_4,الجودة المتوسطة لهذا السعر,ARABIC,3.0,neutral,Sports & Loisirs,الجودة المتوسطة لهذا السعر,الجودة المتوسطة لهذا السعر
63523557_rev_3,في البداية، كان كل شيء يعمل بشكل جيد، ولكن بعد ثلاثة أسابيع، لا يزال جهاز التسارع متكاملًا.,ARABIC,3.0,neutral,Sports & Loisirs,في كان كل شيء يعمل بشكل ولكن بعد ثلاثة لا يزال جهاز التسارع,في البداية، كان كل شيء يعمل بشكل جيد، ولكن بعد ثلاثة أسابيع، لا يزال جهاز التسارع متكاملًا.
65758989_rev_3,إن المنتج كاذب، والجودة لا تشمل 4K كما هو موضح، والصورة سيئة للغاية وخيبة أمل كبيرة.,ARABIC,1.0,negative,TV & HIGH TECH,إن المنتج والجودة لا تشمل k كما هو والصورة سيئة للغاية وخيبة أمل كبيرة,إن المنتج كاذب، والجودة لا تشمل 4k كما هو موضح، والصورة سيئة للغاية وخيبة أمل كبيرة.
mpg1556186_rev_4,وقد توقف المنتج عن العمل بعد الاستخدام الثاني,ARABIC,1.0,negative,"Maison, cuisine & bureau",وقد توقف المنتج عن العمل بعد الاستخدام الثاني,وقد توقف المنتج عن العمل بعد الاستخدام الثاني
65603593_rev_4,الصوت والألوان المتحركة لا تتحرك,ARABIC,1.0,negative,TV & HIGH TECH,الصوت والألوان المتحركة لا تتحرك,الصوت والألوان المتحركة لا تتحرك
41072832_rev_4,عزيزي جدا,ARABIC,1.0,negative,"Maison, cuisine & bureau",عزيزي جدا,عزيزي جدا
62988362_rev_4,إن قدرة البطارية مقارنة بقوة مصباح المصباح غير كافية.,ARABIC,3.0,neutral,Sports & Loisirs,إن قدرة البطارية مقارنة بقوة مصباح المصباح غير كافية,إن قدرة البطارية مقارنة بقوة مصباح المصباح غير كافية.
mpg1337936_rev_5,لسوء الحظ لا أستطيع تثبيتها ولكنها تبدو جيدة.,ARABIC,4.0,positive,TV & HIGH TECH,لسوء الحظ لا أستطيع تثبيتها ولكنها تبدو جيدة,لسوء الحظ لا أستطيع تثبيتها ولكنها تبدو جيدة.
mpg875665_rev_3,حسناً ????,ARABIC,3.0,neutral,Sports & Loisirs,,حسناً ????
mpg92932_rev_5,حسناً جداً,ARABIC,5.0,positive,TV & HIGH TECH,,حسناً جداً
